fraction	random	degree	closeness	betweenness	eigenvector
0.000000	2.933333	2.933333	2.933333	2.933333	2.933333	
0.050000	2.954023	2.935632	3.216092	3.216092	3.158621	
0.100000	3.185185	3.219577	3.529101	3.664021	3.219577	
0.150000	3.199430	3.236467	3.504274	3.763533	2.883721	
0.200000	3.186667	3.960000	3.660000	5.083333	2.719828	
0.250000	3.224638	3.927536	5.043478	2.886364	2.706161	
0.300000	3.406926	3.869110	4.874459	2.854545	2.714286	
0.350000	3.361905	4.819767	4.321053	2.354430	2.714286	
0.400000	3.947368	4.532847	2.618421	1.454545	2.719298	
0.450000	5.098039	4.347107	2.307692	1.482759	2.725490	
0.500000	2.616667	3.132353	2.391304	1.210526	2.525000	
0.550000	1.740741	2.394737	2.391304	1.133333	3.000000	
0.600000	1.809524	2.432432	2.523810	1.133333	2.846154	
0.650000	1.375000	1.250000	2.310345	1.166667	2.509091	
0.700000	1.428571	1.125000	2.227273	1.166667	2.222222	
0.750000	1.500000	1.000000	2.000000	1.000000	2.357143	
0.800000	1.500000	1.000000	1.285714	1.000000	2.285714	
0.850000	0.000000	1.000000	1.333333	1.000000	1.700000	
0.900000	0.000000	1.000000	1.000000	1.000000	1.333333	
0.950000	0.000000	0.000000	1.000000	0.000000	1.000000	
1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
