fraction	random	degree	closeness	betweenness	eigenvector
0.000000	100.000000	100.000000	100.000000	100.000000	100.000000	
0.050000	92.000000	91.000000	91.000000	89.000000	91.000000	
0.100000	85.000000	83.000000	84.000000	78.000000	83.000000	
0.150000	78.000000	70.000000	73.000000	68.000000	75.000000	
0.200000	72.000000	61.000000	60.000000	56.000000	64.000000	
0.250000	68.000000	47.000000	44.000000	42.000000	50.000000	
0.300000	63.000000	22.000000	26.000000	33.000000	36.000000	
0.350000	58.000000	8.000000	16.000000	21.000000	20.000000	
0.400000	54.000000	5.000000	8.000000	6.000000	19.000000	
0.450000	48.000000	3.000000	8.000000	3.000000	9.000000	
0.500000	41.000000	3.000000	3.000000	2.000000	4.000000	
0.550000	38.000000	3.000000	3.000000	2.000000	4.000000	
0.600000	37.000000	3.000000	3.000000	1.000000	3.000000	
0.650000	34.000000	1.000000	3.000000	1.000000	3.000000	
0.700000	29.000000	1.000000	2.000000	1.000000	3.000000	
0.750000	24.000000	1.000000	2.000000	1.000000	2.000000	
0.800000	18.000000	1.000000	1.000000	1.000000	2.000000	
0.850000	11.000000	1.000000	1.000000	1.000000	1.000000	
0.900000	3.000000	1.000000	1.000000	1.000000	1.000000	
0.950000	1.000000	1.000000	1.000000	1.000000	1.000000	
1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
