fraction	random	degree	closeness	betweenness	eigenvector
0.000000	8.000000	8.000000	8.000000	8.000000	8.000000	
0.050000	3.000000	1.000000	2.000000	8.000000	6.000000	
0.100000	3.000000	2.000000	3.000000	3.000000	2.000000	
0.150000	2.000000	2.000000	1.000000	4.000000	1.000000	
0.200000	4.000000	1.000000	2.000000	1.000000	2.000000	
0.250000	1.000000	2.000000	2.000000	4.000000	2.000000	
0.300000	5.000000	1.000000	1.000000	4.000000	2.000000	
0.350000	2.000000	3.000000	1.000000	1.000000	2.000000	
0.400000	2.000000	2.000000	1.000000	0.000000	1.000000	
0.450000	1.000000	1.000000	2.000000	1.000000	1.000000	
0.500000	2.000000	2.000000	1.000000	0.000000	1.000000	
0.550000	0.000000	0.000000	1.000000	2.000000	1.000000	
0.600000	3.000000	1.000000	0.000000	0.000000	1.000000	
0.650000	0.000000	1.000000	1.000000	2.000000	1.000000	
0.700000	2.000000	2.000000	1.000000	0.000000	1.000000	
0.750000	1.000000	0.000000	1.000000	0.000000	1.000000	
0.800000	0.000000	0.000000	2.000000	0.000000	2.000000	
0.850000	0.000000	0.000000	0.000000	0.000000	1.000000	
0.900000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.950000	0.000000	0.000000	1.000000	0.000000	1.000000	
1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
