fraction	random	degree	closeness	betweenness	eigenvector
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.050000	0.645161	0.806452	0.677419	0.129032	0.612903	
0.100000	0.612903	0.677419	0.741935	0.451613	0.774194	
0.150000	0.774194	0.709677	0.806452	0.451613	0.870968	
0.200000	0.548387	0.838710	0.741935	0.806452	0.838710	
0.250000	0.774194	0.709677	0.838710	0.548387	0.838710	
0.300000	0.612903	0.838710	0.903226	0.709677	0.741935	
0.350000	0.806452	0.677419	0.838710	0.838710	0.870968	
0.400000	0.774194	0.774194	0.903226	0.935484	0.806452	
0.450000	0.870968	0.838710	0.806452	0.774194	0.870968	
0.500000	0.838710	0.870968	0.870968	0.870968	0.903226	
0.550000	0.903226	0.903226	0.870968	0.806452	0.903226	
0.600000	0.774194	0.903226	0.903226	0.903226	0.935484	
0.650000	0.870968	0.903226	0.903226	0.838710	0.935484	
0.700000	0.870968	0.838710	0.903226	0.903226	0.903226	
0.750000	0.903226	0.903226	0.903226	0.935484	0.903226	
0.800000	0.935484	0.935484	0.838710	0.935484	0.870968	
0.850000	0.967742	0.935484	0.967742	0.903226	0.903226	
0.900000	0.935484	0.935484	0.935484	0.967742	0.967742	
0.950000	0.967742	1.000000	0.935484	1.000000	0.935484	
1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	
